galaxyID,label1,label2,label3,label4
5,0,0,0,0
6,5,2,1,1
7,6,3,2,2
9,0,0,0,0
13,2,0,0,0
14,5,2,1,1
16,5,2,1,1
17,0,0,0,0
19,0,0,0,0
20,1,0,0,0
21,4,2,1,1
22,0,0,0,0
23,5,2,1,1
24,3,1,1,1
25,1,0,0,0
29,4,2,1,1
30,5,2,1,1
32,0,0,0,0
33,0,0,0,0
34,6,3,2,2
36,5,2,1,1
38,1,0,0,0
40,4,2,1,1
41,1,0,0,0
42,5,2,1,1
44,2,0,0,0
47,0,0,0,0
48,0,0,0,0
49,3,1,1,1
50,0,0,0,0
51,5,2,1,1
53,5,2,1,1
54,5,2,1,1
55,0,0,0,0
56,2,0,0,0
57,5,2,1,1
58,1,0,0,0
59,3,1,1,1
61,3,1,1,1
63,5,2,1,1
65,0,0,0,0
66,0,0,0,0
68,3,1,1,1
71,1,0,0,0
73,0,0,0,0
74,5,2,1,1
76,4,2,1,1
80,0,0,0,0
81,1,0,0,0
82,0,0,0,0
84,1,0,0,0
87,1,0,0,0
89,4,2,1,1
90,5,2,1,1
92,4,2,1,1
93,4,2,1,1
94,0,0,0,0
95,1,0,0,0
99,0,0,0,0
100,5,2,1,1
101,5,2,1,1
105,0,0,0,0
107,0,0,0,0
108,1,0,0,0
112,0,0,0,0
115,3,1,1,1
117,0,0,0,0
118,0,0,0,0
119,0,0,0,0
120,1,0,0,0
121,1,0,0,0
124,5,2,1,1
125,2,0,0,0
127,0,0,0,0
129,1,0,0,0
130,0,0,0,0
132,1,0,0,0
133,5,2,1,1
134,1,0,0,0
135,4,2,1,1
136,5,2,1,1
137,1,0,0,0
138,5,2,1,1
139,5,2,1,1
141,1,0,0,0
142,1,0,0,0
143,0,0,0,0
145,5,2,1,1
148,0,0,0,0
149,0,0,0,0
153,0,0,0,0
154,0,0,0,0
155,1,0,0,0
163,1,0,0,0
165,1,0,0,0
171,3,1,1,1
172,0,0,0,0
174,5,2,1,1
176,0,0,0,0
177,3,1,1,1
182,5,2,1,1
184,0,0,0,0
185,0,0,0,0
186,2,0,0,0
